(about, sobre)
(afternoon, tarde)
(asked, preguntó)
(bad, malo)
(big, grande)
(black, negro)
(blue, azul)
(book, libro)
(car, carro)
(cat, gato)
(chair, silla)
(city, ciudad)
(close, cerrar)
(computer, computadora)
(day, día)
(do, hacer)
(dog, perro)
(door, puerta)
(drink, beber)
(eat, comer)
(evening, noche)
(family, familia)
(fast, rápido)
(food, comida)
(friend, amigo)
(good, bueno)
(green, verde)
(happy, feliz)
(homework, tarea)
(house, casa)
(learn, aprender)
(listen, escuchar)
(market, mercado)
(me, mí)
(money, dinero)
(month, mes)
(moon, luna)
(morning, mañana)
(my, mi)
(new, nuevo)
(night, noche)
(old, viejo)
(open, abrir)
(phone, teléfono)
(play, jugar)
(read, leer)
(red, rojo)
(road, camino)
(run, correr)
(sad, triste)
(school, escuela)
(slow, lento)
(small, pequeño)
(speak, hablar)
(street, calle)
(student, estudiante)
(sun, sol)
(table, mesa)
(teacher, maestro)
(the, el)
(time, tiempo)
(to, a)
(today, hoy)
(tomorrow, mañana)
(town, pueblo)
(tree, árbol)
(walk, caminar)
(water, agua)
(week, semana)
(white, blanco)
(window, ventana)
(woman, mujer)
(word0001, palabra0001)
(word0002, palabra0002)
(word0003, palabra0003)
(word0004, palabra0004)
(word0005, palabra0005)
(word0006, palabra0006)
(word0007, palabra0007)
(word0008, palabra0008)
(word0009, palabra0009)
(word0010, palabra0010)
(word0011, palabra0011)
(word0012, palabra0012)
(word0013, palabra0013)
(word0014, palabra0014)
(word0015, palabra0015)
(word0016, palabra0016)
(word0017, palabra0017)
(word0018, palabra0018)
(word0019, palabra0019)
(word0020, palabra0020)
(word0021, palabra0021)
(word0022, palabra0022)
(word0023, palabra0023)
(word0024, palabra0024)
(word0025, palabra0025)
(word0026, palabra0026)
(word0027, palabra0027)
(word0028, palabra0028)
(word0029, palabra0029)
(word0030, palabra0030)
(word0031, palabra0031)
(word0032, palabra0032)
(word0033, palabra0033)
(word0034, palabra0034)
(word0035, palabra0035)
(word0036, palabra0036)
(word0037, palabra0037)
(word0038, palabra0038)
(word0039, palabra0039)
(word0040, palabra0040)
(word0041, palabra0041)
(word0042, palabra0042)
(word0043, palabra0043)
(word0044, palabra0044)
(word0045, palabra0045)
(word0046, palabra0046)
(word0047, palabra0047)
(word0048, palabra0048)
(word0049, palabra0049)
(word0050, palabra0050)
(word0051, palabra0051)
(word0052, palabra0052)
(word0053, palabra0053)
(word0054, palabra0054)
(word0055, palabra0055)
(word0056, palabra0056)
(word0057, palabra0057)
(word0058, palabra0058)
(word0059, palabra0059)
(word0060, palabra0060)
(word0061, palabra0061)
(word0062, palabra0062)
(word0063, palabra0063)
(word0064, palabra0064)
(word0065, palabra0065)
(word0066, palabra0066)
(word0067, palabra0067)
(word0068, palabra0068)
(word0069, palabra0069)
(word0070, palabra0070)
(word0071, palabra0071)
(word0072, palabra0072)
(word0073, palabra0073)
(word0074, palabra0074)
(word0075, palabra0075)
(word0076, palabra0076)
(word0077, palabra0077)
(word0078, palabra0078)
(word0079, palabra0079)
(word0080, palabra0080)
(word0081, palabra0081)
(word0082, palabra0082)
(word0083, palabra0083)
(word0084, palabra0084)
(word0085, palabra0085)
(word0086, palabra0086)
(word0087, palabra0087)
(word0088, palabra0088)
(word0089, palabra0089)
(word0090, palabra0090)
(word0091, palabra0091)
(word0092, palabra0092)
(word0093, palabra0093)
(word0094, palabra0094)
(word0095, palabra0095)
(word0096, palabra0096)
(word0097, palabra0097)
(word0098, palabra0098)
(word0099, palabra0099)
(word0100, palabra0100)
(word0101, palabra0101)
(word0102, palabra0102)
(word0103, palabra0103)
(word0104, palabra0104)
(word0105, palabra0105)
(word0106, palabra0106)
(word0107, palabra0107)
(word0108, palabra0108)
(word0109, palabra0109)
(word0110, palabra0110)
(word0111, palabra0111)
(word0112, palabra0112)
(word0113, palabra0113)
(word0114, palabra0114)
(word0115, palabra0115)
(word0116, palabra0116)
(word0117, palabra0117)
(word0118, palabra0118)
(word0119, palabra0119)
(word0120, palabra0120)
(word0121, palabra0121)
(word0122, palabra0122)
(word0123, palabra0123)
(word0124, palabra0124)
(word0125, palabra0125)
(word0126, palabra0126)
(word0127, palabra0127)
(word0128, palabra0128)
(word0129, palabra0129)
(word0130, palabra0130)
(word0131, palabra0131)
(word0132, palabra0132)
(word0133, palabra0133)
(word0134, palabra0134)
(word0135, palabra0135)
(word0136, palabra0136)
(word0137, palabra0137)
(word0138, palabra0138)
(word0139, palabra0139)
(word0140, palabra0140)
(word0141, palabra0141)
(word0142, palabra0142)
(word0143, palabra0143)
(word0144, palabra0144)
(word0145, palabra0145)
(word0146, palabra0146)
(word0147, palabra0147)
(word0148, palabra0148)
(word0149, palabra0149)
(word0150, palabra0150)
(word0151, palabra0151)
(word0152, palabra0152)
(word0153, palabra0153)
(word0154, palabra0154)
(word0155, palabra0155)
(word0156, palabra0156)
(word0157, palabra0157)
(word0158, palabra0158)
(word0159, palabra0159)
(word0160, palabra0160)
(word0161, palabra0161)
(word0162, palabra0162)
(word0163, palabra0163)
(word0164, palabra0164)
(word0165, palabra0165)
(word0166, palabra0166)
(word0167, palabra0167)
(word0168, palabra0168)
(word0169, palabra0169)
(word0170, palabra0170)
(word0171, palabra0171)
(word0172, palabra0172)
(word0173, palabra0173)
(word0174, palabra0174)
(word0175, palabra0175)
(word0176, palabra0176)
(word0177, palabra0177)
(word0178, palabra0178)
(word0179, palabra0179)
(word0180, palabra0180)
(word0181, palabra0181)
(word0182, palabra0182)
(word0183, palabra0183)
(word0184, palabra0184)
(word0185, palabra0185)
(word0186, palabra0186)
(word0187, palabra0187)
(word0188, palabra0188)
(word0189, palabra0189)
(word0190, palabra0190)
(word0191, palabra0191)
(word0192, palabra0192)
(word0193, palabra0193)
(word0194, palabra0194)
(word0195, palabra0195)
(word0196, palabra0196)
(word0197, palabra0197)
(word0198, palabra0198)
(word0199, palabra0199)
(word0200, palabra0200)
(word0201, palabra0201)
(word0202, palabra0202)
(word0203, palabra0203)
(word0204, palabra0204)
(word0205, palabra0205)
(word0206, palabra0206)
(word0207, palabra0207)
(word0208, palabra0208)
(word0209, palabra0209)
(word0210, palabra0210)
(word0211, palabra0211)
(word0212, palabra0212)
(word0213, palabra0213)
(word0214, palabra0214)
(word0215, palabra0215)
(word0216, palabra0216)
(word0217, palabra0217)
(word0218, palabra0218)
(word0219, palabra0219)
(word0220, palabra0220)
(word0221, palabra0221)
(word0222, palabra0222)
(word0223, palabra0223)
(word0224, palabra0224)
(word0225, palabra0225)
(word0226, palabra0226)
(word0227, palabra0227)
(word0228, palabra0228)
